dieta,custo_total,quantidade_itens,itens_com_nutrientes,itens_sem_nutrientes,fator_qualidade_medio,itens_ultraprocessados,itens_sem_classificacao_qualidade,energia_kcal_total,proteina_g_total,carboidrato_g_total,lipideos_g_total,fibra_alimentar_g_total,calcio_mg_total,ferro_mg_total,sodio_mg_total,acucar_adicionado_g_total,energia_kcal_razao,energia_kcal_adequacao,proteina_g_razao,proteina_g_adequacao,carboidrato_g_razao,carboidrato_g_adequacao,lipideos_g_razao,lipideos_g_adequacao,fibra_alimentar_g_razao,fibra_alimentar_g_adequacao,calcio_mg_razao,calcio_mg_adequacao,ferro_mg_razao,ferro_mg_adequacao,sodio_mg_razao_limite,sodio_mg_score,acucar_adicionado_g_razao_limite,acucar_adicionado_g_score,score_adequacao,score_limites,score_qualidade_alimentar,cobertura_dados,score_nutricional,score_por_real,score_por_100_reais
cetogenica,414.75,21,18,3,0.9380952380952381,0,0,15036.9,638.4399999999999,473.56,1205.34,329.73,4778.6,71.37,4380.0,0.0,8.353833333333332,1.0,12.768799999999999,1.0,1.5785333333333333,1.0,17.219142857142856,1.0,13.189200000000001,1.0,4.7786,1.0,5.097857142857143,1.0,2.19,0.45662100456621,0.0,1.0,1.0,0.728310502283105,0.9380952380952381,0.8571428571428571,0.58562109775417,0.0014119857691480893,0.14119857691480894
vegana,331.0,27,18,9,0.8685185185185185,4,0,22072.300000000003,756.68,2784.1200000000003,968.12,620.29,4592.2,172.88999999999996,25498.2,145.0,12.262388888888891,1.0,15.1336,1.0,9.280400000000002,1.0,13.830285714285715,1.0,24.8116,1.0,4.5922,1.0,12.349285714285712,1.0,12.7491,0.07843690927202704,2.9,0.3448275862068966,1.0,0.21163224773946182,0.8685185185185185,0.6666666666666666,0.12253768418494765,0.00037020448394244,0.037020448394244
mcdonalds,121.8,8,4,4,0.33125,7,0,628.4,8.85,104.77,22.32,13.77,16.7,0.6799999999999999,38.9,108.76,0.3491111111111111,0.3491111111111111,0.177,0.177,0.34923333333333334,0.34923333333333334,0.31885714285714284,0.31885714285714284,0.5508,0.5508,0.0167,0.0167,0.048571428571428564,0.048571428571428564,0.01945,1.0,2.1752000000000002,0.4597278411180581,0.25861043083900226,0.729863920559029,0.33125,0.5,0.03126178880102979,0.00025666493268497367,0.025666493268497365
controle,287.95,27,27,0,0.8648148148148148,2,0,33931.22,1301.0100000000002,3886.13,1517.5099999999995,660.8899999999999,10740.3,213.99,22282.7,40.4,18.85067777777778,1.0,26.020200000000003,1.0,12.953766666666667,1.0,21.67871428571428,1.0,26.435599999999994,1.0,10.7403,1.0,15.285,1.0,11.141350000000001,0.08975572978139992,0.8079999999999999,1.0,1.0,0.5448778648907,0.8648148148148148,1.0,0.4712184498221424,0.001636459280507527,0.1636459280507527
