id_item_dieta,dieta,alimento,preco_medio,peso,alimento_normalizado,quantidade_g,fator_100g,tipo_conversao_quantidade,observacao_quantidade,taco_numero_alimento,taco_descricao,taco_categoria,fonte_nutricional,status_match,observacao,umidade_g_100g,energia_kcal_100g,energia_kj_100g,proteina_g_100g,lipideos_g_100g,colesterol_mg_100g,carboidrato_g_100g,fibra_alimentar_g_100g,cinzas_g_100g,calcio_mg_100g,magnesio_mg_100g,manganes_mg_100g,fosforo_mg_100g,ferro_mg_100g,sodio_mg_100g,potassio_mg_100g,cobre_mg_100g,zinco_mg_100g,retinol_mcg_100g,re_mcg_100g,rae_mcg_100g,tiamina_mg_100g,riboflavina_mg_100g,piridoxina_mg_100g,niacina_mg_100g,vitamina_c_mg_100g,umidade_g_total,energia_kcal_total,energia_kj_total,proteina_g_total,lipideos_g_total,colesterol_mg_total,carboidrato_g_total,fibra_alimentar_g_total,cinzas_g_total,calcio_mg_total,magnesio_mg_total,manganes_mg_total,fosforo_mg_total,ferro_mg_total,sodio_mg_total,potassio_mg_total,cobre_mg_total,zinco_mg_total,retinol_mcg_total,re_mcg_total,rae_mcg_total,tiamina_mg_total,riboflavina_mg_total,piridoxina_mg_total,niacina_mg_total,vitamina_c_mg_total
11,cetogenica,aspargos,15.0,1 maço,aspargos,250.0,2.5,maco_estimado,Estimativa para 1 maco de aspargos.,,,,,sem_match_taco,Nao encontrei aspargos na TACO.,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,cetogenica,rúcula,4.0,1 maço,rucula,120.0,1.2,maco_estimado,Estimativa para 1 maco de rucula.,152.0,"Rúcula, crua","Verduras, hortaliças e derivados",TACO,taco_exato,,94.8,13.0,55.0,1.8,0.1,,2.2,1.7,1.1,117.0,18.0,0.24,25.0,0.9,9.0,233.0,0.04,0.2,,533.0,266.0,0.04,0.0,0.0,0.35,46.3,113.75999999999999,15.6,66.0,2.16,0.12,0.0,2.64,2.04,1.32,140.4,21.599999999999998,0.288,30.0,1.08,10.799999999999999,279.59999999999997,0.048,0.24,0.0,639.6,319.2,0.048,0.0,0.0,0.42,55.559999999999995
13,cetogenica,tomate-cereja,6.0,200 g,tomate cereja,200.0,2.0,direto_g,Peso informado diretamente em gramas.,161.0,"Tomate, salada","Verduras, hortaliças e derivados",TACO,taco_aproximado,"A TACO tem tomate salada, nao tomate-cereja.",93.6,21.0,86.0,0.8,0.0,,5.1,2.3,0.4,7.0,10.0,0.04,23.0,0.3,5.0,161.0,0.07,0.2,,,,0.06,0.04,0.05,0.0,12.8,187.2,42.0,172.0,1.6,0.0,0.0,10.2,4.6,0.8,14.0,20.0,0.08,46.0,0.6,10.0,322.0,0.14,0.4,0.0,0.0,0.0,0.12,0.08,0.1,0.0,25.6
14,cetogenica,alho,3.0,1 cabeça,alho,50.0,0.5,unidade_estimada,Estimativa para 1 cabeca de alho.,82.0,"Alho, cru","Verduras, hortaliças e derivados",TACO,taco_exato,,67.5,113.0,473.0,7.0,0.2,,23.9,4.3,1.3,14.0,21.0,0.24,149.0,0.8,5.0,535.0,0.15,0.8,,,,0.18,0.0,0.44,0.0,,33.75,56.5,236.5,3.5,0.1,0.0,11.95,2.15,0.65,7.0,10.5,0.12,74.5,0.4,2.5,267.5,0.075,0.4,0.0,0.0,0.0,0.09,0.0,0.22,0.0,0.0
15,cetogenica,limão,1.0,1 unidade,limao,70.0,0.7,unidade_estimada,Estimativa para 1 limao medio.,220.0,"Limão, tahiti, cru",Frutas e derivados,TACO,taco_aproximado,Usando limao tahiti cru.,87.4,32.0,133.0,0.9,0.1,,11.1,1.2,0.4,51.0,10.0,0.07,24.0,0.2,1.0,128.0,0.06,0.2,,,,0.3,0.04,0.0,0.0,38.2,61.18,22.4,93.1,0.63,0.06999999999999999,0.0,7.77,0.84,0.27999999999999997,35.699999999999996,7.0,0.049,16.799999999999997,0.13999999999999999,0.7,89.6,0.041999999999999996,0.13999999999999999,0.0,0.0,0.0,0.21,0.027999999999999997,0.0,0.0,26.740000000000002
16,cetogenica,salmão,80.0,1 kg,salmao,1000.0,10.0,direto_kg,Peso convertido de kg para gramas.,316.0,"Salmão, sem pele, fresco, cru",Pescados e frutos do mar,TACO,taco_aproximado,Usando salmao sem pele fresco cru.,69.0,170.0,710.0,19.3,9.7,53.0,0.0,,1.2,9.0,27.0,0.0,259.0,0.2,64.0,376.0,0.02,0.3,0.0,0.0,0.0,0.2,0.03,0.0,3.21,,690.0,1700.0,7100.0,193.0,97.0,530.0,0.0,0.0,12.0,90.0,270.0,0.0,2590.0,2.0,640.0,3760.0,0.2,3.0,0.0,0.0,0.0,2.0,0.3,0.0,32.1,0.0
17,cetogenica,carne bovina (ancho),79.9,1 kg,carne bovina ancho,1000.0,10.0,direto_kg,Peso convertido de kg para gramas.,343.0,"Carne, bovina, contra-filé, com gordura, cru",Carnes e derivados,TACO,taco_aproximado,Ancho nao existe na TACO; usando contra-file com gordura cru.,65.7,206.0,861.0,21.2,12.8,73.0,0.0,,0.9,4.0,18.0,0.01,164.0,1.3,44.0,285.0,0.04,2.8,4.0,4.0,4.0,0.11,0.08,0.03,3.79,,657.0,2060.0,8610.0,212.0,128.0,730.0,0.0,0.0,9.0,40.0,180.0,0.1,1640.0,13.0,440.0,2850.0,0.4,28.0,40.0,40.0,40.0,1.1,0.8,0.3,37.9,0.0
18,cetogenica,mix de castanhas,25.0,200 g,mix de castanhas,200.0,2.0,direto_g,Peso informado diretamente em gramas.,,,,,sem_match_taco,Precisa definir a proporcao das castanhas do mix.,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,cetogenica,castanha-do-pará,50.0,200 g,castanha do para,200.0,2.0,direto_g,Peso informado diretamente em gramas.,589.0,"Castanha-do-Brasil, crua",Nozes e sementes,TACO,taco_exato,A TACO chama de castanha-do-Brasil.,3.5,643.0,2690.0,14.5,63.5,,15.1,7.9,3.4,146.0,365.0,1.1,853.0,2.3,1.0,651.0,1.79,4.2,,,,0.3,0.0,0.44,0.0,0.0,7.0,1286.0,5380.0,29.0,127.0,0.0,30.2,15.8,6.8,292.0,730.0,2.2,1706.0,4.6,2.0,1302.0,3.58,8.4,0.0,0.0,0.0,0.6,0.0,0.88,0.0,0.0
20,cetogenica,sementes de girassol,10.0,200 g,sementes de girassol,200.0,2.0,direto_g,Peso informado diretamente em gramas.,,,,,sem_match_taco,"A TACO tem oleo de girassol, mas nao semente.",,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,cetogenica,café em pó,25.0,500 g,cafe em po,500.0,5.0,direto_g,Peso informado diretamente em gramas.,511.0,"Café, pó, torrado",Miscelâneas,TACO,taco_exato,,2.9,419.0,1752.0,14.7,11.9,,65.8,51.2,4.7,107.0,165.0,2.58,169.0,8.1,1.0,1609.0,1.3,0.5,,,,0.0,0.0,0.0,11.89,0.0,14.5,2095.0,8760.0,73.5,59.5,0.0,329.0,256.0,23.5,535.0,825.0,12.9,845.0,40.5,5.0,8045.0,6.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,59.45,0.0
22,vegana,aveia em flocos,6.0,500 g,aveia em flocos,500.0,5.0,direto_g,Peso informado diretamente em gramas.,7.0,"Aveia, flocos, crua",Cereais e derivados,TACO,taco_exato,,9.1,394.0,1648.0,13.9,8.5,,66.6,9.1,1.8,48.0,119.0,1.89,153.0,4.4,5.0,336.0,0.44,2.6,,,,0.55,0.03,0.0,4.47,1.4,45.5,1970.0,8240.0,69.5,42.5,0.0,333.0,45.5,9.0,240.0,595.0,9.45,765.0,22.0,25.0,1680.0,2.2,13.0,0.0,0.0,0.0,2.75,0.15,0.0,22.349999999999998,7.0
23,vegana,leite vegetal (amêndoas),15.0,1 L,leite vegetal amendoas,1000.0,10.0,volume_l_estimado,Volume convertido usando densidade 1 ml = 1 g.,,,,,rotulo_necessario,Produto industrializado; usar rotulo ou outra base.,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,vegana,banana,5.0,1 kg,banana,1000.0,10.0,direto_kg,Peso convertido de kg para gramas.,182.0,"Banana, prata, crua",Frutas e derivados,TACO,taco_aproximado,Usando banana prata crua.,71.9,98.0,411.0,1.3,0.1,,26.0,2.0,0.8,8.0,26.0,0.42,22.0,0.4,0.0,358.0,0.05,0.1,,32.0,16.0,0.0,0.02,0.1,0.0,21.6,719.0,980.0,4110.0,13.0,1.0,0.0,260.0,20.0,8.0,80.0,260.0,4.2,220.0,4.0,0.0,3580.0,0.5,1.0,0.0,320.0,160.0,0.0,0.2,1.0,0.0,216.0
