dieta,custo_total,score_nutricional,score_por_real,score_por_100_reais,score_adequacao,score_limites,cobertura_dados,itens_sem_nutrientes,ranking_nutricao,ranking_menor_custo,ranking_custo_beneficio
mcdonalds,121.8,0.15943226059654633,0.0013089676567860948,0.13089676567860947,0.31886452119309266,1.0,0.5,4,2,1,1
cetogenica,414.75,0.3913894324853229,0.0009436755454739551,0.09436755454739551,1.0,0.45662100456621,0.8571428571428571,3,1,4,2
controle,287.95,0.08975572978139992,0.00031170595513596084,0.031170595513596085,1.0,0.08975572978139992,1.0,0,3,2,3
vegana,331.0,0.052291272848018024,0.00015797967627800008,0.01579796762780001,1.0,0.07843690927202704,0.6666666666666666,9,4,3,4
