dieta,custo_total,quantidade_itens,quantidade_total_g,itens_com_nutrientes,itens_sem_nutrientes,itens_sem_quantidade_g,umidade_g_total,energia_kcal_total,energia_kj_total,proteina_g_total,lipideos_g_total,colesterol_mg_total,carboidrato_g_total,fibra_alimentar_g_total,cinzas_g_total,calcio_mg_total,magnesio_mg_total,manganes_mg_total,fosforo_mg_total,ferro_mg_total,sodio_mg_total,potassio_mg_total,cobre_mg_total,zinco_mg_total,retinol_mcg_total,re_mcg_total,rae_mcg_total,tiamina_mg_total,riboflavina_mg_total,piridoxina_mg_total,niacina_mg_total,vitamina_c_mg_total
cetogenica,414.75,21,6500.0,18,3,0,3446.89,15036.9,62878.99999999999,638.4399999999999,1205.3400000000001,2284.5,473.56,329.73,82.85,4778.6,2621.6,20.257,9692.3,71.37,4380.0,21581.2,12.445,60.48,2622.0,2980.6,1511.2,5.048,4.228,2.75,134.04000000000002,460.70000000000005
vegana,331.0,27,13980.0,18,9,1,5167.2300000000005,22072.300000000003,92336.5,756.68,968.12,0.0,2784.1200000000003,620.29,207.03,4592.2,7647.5,109.704,15691.3,172.88999999999996,25498.2,44533.1,26.047,118.74000000000001,0.0,15580.0,7790.0,17.270000000000003,1.5180000000000002,18.824999999999996,177.47,560.94
mcdonalds,121.8,8,1429.0,4,4,0,580.17,628.4,2619.6,8.85,22.32,0.0,104.77,13.77,4.44,16.7,28.799999999999997,0.27499999999999997,208.5,0.6799999999999999,38.9,914.3,0.175,0.6799999999999999,0.0,0.0,0.0,0.28900000000000003,0.0,0.16999999999999998,4.2669999999999995,27.71
controle,287.95,27,18768.0,27,0,0,10847.489999999998,33931.22,142003.62,1301.0100000000002,1517.5099999999995,3020.5,3886.13,660.8899999999999,236.51000000000002,10740.3,5718.8,50.92199999999999,17439.3,213.99,22282.7,55518.2,22.657,143.94000000000003,3747.0,16370.4,8220.2,18.989999999999995,8.700000000000001,14.554000000000002,297.27,2471.98
